鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新興區,房地(土地+建物),高雄市新興區興華路61~90號,8.69,商,,,1070929,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960413,93.66,2,1,1,有,有,有,18000,192,,0.0,0,,RPRNMLLJIINFFBE57CC
新興區,建物,高雄市新興區球庭路61~90號,0.0,商,,,1070902,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010509,77.29,2,1,1,有,有,有,25000,323,,0.0,0,,RPUNMLLJIINFFBE87CC
新興區,建物,高雄市新興區球庭路61~90號,0.0,商,,,1070901,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010509,79.18,2,2,1,有,有,有,25000,316,,0.0,0,,RPVNMLLJIINFFBE97CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1070925,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1800,,坡道平面,12.66,1800,,RPOOMLLJIINFFBE37CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1071001,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1700,,坡道平面,12.66,1700,,RPPOMLLJIINFFBE47CC
新興區,建物,高雄市新興區南臺路151~180號,0.0,住,,,1070918,土地0建物1車位0,全,4,透天厝,,鋼筋混凝土造,0710114,63.83,2,1,1,有,無,有,8500,133,,0.0,0,,RPSOMLLJIINFFBE77CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區和平一路151~180號,5.94,住,,,1071001,土地1建物1車位1,十九層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980514,264.33,3,2,2,有,有,有,62000,235,坡道平面,19.86,0,,RPTOMLLJIINFFBE87CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區仁愛三街271~300號,23.77,住,,,1070902,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010215,238.94,4,2,2,有,有,有,50000,209,坡道平面,0.0,0,,RPUOMLLJIINFFBE97CC
三民區,建物,高雄市三民區瀋陽街99巷1~30號,0.0,住,,,1070905,土地0建物0車位0,全,4,透天厝,,鋼筋混凝土造,0690211,21.45,1,0,1,有,無,有,5300,247,,0.0,0,承租分租之一部分房間,RPQOMLLJIINFFDE77CC
三民區,建物,高雄市三民區瀋陽街99巷1~30號,0.0,住,,,1070908,土地0建物0車位0,全,4,透天厝,,鋼筋混凝土造,0690211,21.45,1,0,1,有,無,有,5500,256,,0.0,0,承租分租之一部分房間,RPROMLLJIINFFDE87CC
左營區,房地(土地+建物),高雄市左營區文康路91~120號,161.55,住,,,1070916,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,1000119,474.11,8,3,8,有,無,無,80000,169,,0.0,0,,RPVOMLLJIINFFEE38CC
楠梓區,房地(土地+建物),高雄市楠梓區建楠路151~180號,71.0,商,,,1070914,土地1建物1車位0,全,5,透天厝,,鋼筋混凝土造,0710920,316.93,4,2,4,有,無,有,45000,142,,0.0,0,,RPPPMLLJIINFFEE87CC
仁武區,房地(土地+建物),高雄市仁武區永仁街1~30號,133.81,住,,,1070901,土地3建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1010807,284.64,5,2,6,有,無,有,30000,105,,0.0,0,,RPRNMLLJIINFFIE28CC
仁武區,房地(土地+建物),高雄市仁武區澄合六街52巷1~30號,94.9,住,,,1070905,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0970221,200.46,5,2,3,有,無,有,22000,110,,0.0,0,,RPTNMLLJIINFFIE48CC
大寮區,房地(土地+建物),高雄市大寮區中正路46巷1~30號,26.82,住,,,1070901,土地1建物1車位0,一層,10,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840106,123.04,1,2,1,有,有,有,15000,122,,0.0,0,,RPQNMLLJIINFFLE48CC
